,Suburb,Address,Type,Method,SellerG,CouncilArea,Regionname,Rooms,Price,Distance,Postcode,Bedrooms,Bathroom,Car,Landsize,main_lat,main_lon,station,Distance_to_Station
20,Abbotsford,48 Abbotsford St,h,PI,Nelson,Yarra City Council,Northern Metropolitan,3,1447500.0,2.5,3067.0,3.0,3.0,1.0,166.0,-37.8017,145.0001,Victoria Park,0.5627
21,Abbotsford,159 Park St,h,S,Nelson,Yarra City Council,Northern Metropolitan,2,1135000.0,2.5,3067.0,2.0,2.0,2.0,98.0,-37.8005,144.9952,Victoria Park,0.1426
22,Abbotsford,166 Gipps St,h,S,Biggin,Yarra City Council,Northern Metropolitan,3,1290000.0,2.5,3067.0,3.0,2.0,2.0,147.0,-37.805,144.9943,Collingwood,0.0705
23,Abbotsford,60 Stafford St,h,S,Biggin,Yarra City Council,Northern Metropolitan,3,1290000.0,2.5,3067.0,3.0,1.0,1.0,168.0,-37.8007,144.9958,Victoria Park,0.191
24,Abbotsford,47 Studley St,h,S,Jellis,Yarra City Council,Northern Metropolitan,2,1180000.0,2.5,3067.0,2.0,1.0,0.0,162.0,-37.8016,144.9956,Victoria Park,0.2681
25,Abbotsford,45 Yarra St,h,SP,Jellis,Yarra City Council,Northern Metropolitan,3,1195000.0,2.5,3067.0,3.0,2.0,1.0,120.0,-37.8022,144.9954,Collingwood,0.2984
26,Abbotsford,200 Nicholson St,h,S,Nelson,Yarra City Council,Northern Metropolitan,2,1012500.0,2.5,3067.0,2.0,1.0,0.0,182.0,-37.8021,144.9976,Victoria Park,0.4124
27,Abbotsford,27 Charles St,h,S,Biggin,Yarra City Council,Northern Metropolitan,2,1030000.0,2.5,3067.0,2.0,1.0,1.0,172.0,-37.8086,144.9946,North Richmond,0.2433
28,Airport West,154 Halsey Rd,t,PI,Nelson,Moonee Valley City Council,Western Metropolitan,3,840000.0,13.5,3042.0,3.0,2.0,1.0,303.0,-37.718,144.878,Glenroy,3.7584
29,Airport West,23 Hart St,h,S,Nelson,Moonee Valley City Council,Western Metropolitan,2,603000.0,13.5,3042.0,2.0,1.0,1.0,272.0,-37.7294,144.888,Oak Park,3.2083
30,Airport West,1/80 Hawker St,t,S,Brad,Moonee Valley City Council,Western Metropolitan,3,700000.0,13.5,3042.0,3.0,2.0,2.0,239.0,-37.7218,144.8837,Oak Park,3.3539
31,Airport West,1/37 Hillside Gr,h,S,Maddison,Moonee Valley City Council,Western Metropolitan,3,600000.0,13.5,3042.0,2.0,1.0,1.0,290.0,-37.7273,144.8744,Oak Park,4.2714
32,Airport West,2/49 McIntosh St,u,VB,Barry,Moonee Valley City Council,Western Metropolitan,2,500000.0,13.5,3042.0,2.0,1.0,1.0,168.0,-37.7215,144.8864,Oak Park,3.1141
33,Airport West,54 Marshall Rd,h,S,Barry,Moonee Valley City Council,Western Metropolitan,3,720000.0,13.5,3042.0,2.0,1.0,1.0,620.0,-37.7173,144.8872,Glenroy,2.9946
34,Airport West,36 Roberts Rd,h,S,Considine,Moonee Valley City Council,Western Metropolitan,4,785000.0,13.5,3042.0,3.0,1.0,2.0,597.0,-37.7259,144.8792,Oak Park,3.8246
35,Airport West,2/252 Parer Rd,t,S,Barry,Moonee Valley City Council,Western Metropolitan,2,450000.0,13.5,3042.0,2.0,1.0,1.0,110.0,-37.7216,144.871,Oak Park,4.4624
36,Airport West,3/19 Hart St,u,S,Barry,Moonee Valley City Council,Western Metropolitan,2,515000.0,13.5,3042.0,2.0,1.0,1.0,141.0,-37.7298,144.8883,Oak Park,3.2019
37,Airport West,2/62 Clydesdale Rd,u,S,Nelson,Moonee Valley City Council,Western Metropolitan,2,530000.0,13.5,3042.0,2.0,1.0,1.0,120.0,-37.7234,144.8792,Oak Park,3.7709
38,Airport West,1/43 Cameron St,u,S,Nelson,Moonee Valley City Council,Western Metropolitan,3,752000.0,13.5,3042.0,3.0,1.0,1.0,265.0,-37.7302,144.8855,Oak Park,3.4454
39,Airport West,145a Victory Rd,u,S,Barry,Moonee Valley City Council,Western Metropolitan,2,440000.0,13.5,3042.0,2.0,1.0,1.0,192.0,-37.7177,144.8787,Glenroy,3.6887
40,Airport West,241 Parer Rd,h,PI,Propertyau,Moonee Valley City Council,Western Metropolitan,5,755000.0,13.5,3042.0,3.0,2.0,2.0,596.0,-37.7248,144.8699,Oak Park,4.6032
41,Airport West,2/40 Earl St,t,PI,Brad,Moonee Valley City Council,Western Metropolitan,3,700000.0,13.5,3042.0,3.0,2.0,2.0,165.0,-37.727,144.887,Oak Park,3.1964
42,Airport West,180 Parer Rd,h,S,Barry,Moonee Valley City Council,Western Metropolitan,3,830000.0,13.5,3042.0,3.0,1.0,2.0,971.0,-37.7186,144.876,Glenroy,3.9464
43,Airport West,4/54 Hawker St,u,S,Barry,Moonee Valley City Council,Western Metropolitan,2,462500.0,13.5,3042.0,2.0,1.0,1.0,164.0,-37.7218,144.8863,Oak Park,3.1271
44,Airport West,43 Hillside Gr,h,SP,Barry,Moonee Valley City Council,Western Metropolitan,3,670000.0,13.5,3042.0,3.0,2.0,2.0,657.0,-37.7269,144.8742,Oak Park,4.2781
45,Airport West,174 Parer Rd,h,S,Barry,Moonee Valley City Council,Western Metropolitan,2,675000.0,13.5,3042.0,2.0,1.0,1.0,612.0,-37.7187,144.8765,Glenroy,3.9104
46,Airport West,75 King St,h,S,McDonald,Moonee Valley City Council,Western Metropolitan,3,910000.0,13.5,3042.0,3.0,1.0,1.0,775.0,-37.7231,144.8835,Oak Park,3.3922
47,Airport West,6 Kittyhawk St,h,S,Brad,Moonee Valley City Council,Western Metropolitan,4,773000.0,13.5,3042.0,5.0,3.0,4.0,531.0,-37.7263,144.8679,Oak Park,4.8058
48,Airport West,478 Fullarton Rd,h,PI,Barry,Moonee Valley City Council,Western Metropolitan,3,810000.0,13.5,3042.0,3.0,3.0,2.0,555.0,-37.7285,144.8694,Oak Park,4.7304
49,Airport West,144 Marshall Rd,h,S,Rendina,Moonee Valley City Council,Western Metropolitan,3,715000.0,13.5,3042.0,3.0,2.0,2.0,422.0,-37.7164,144.8792,Glenroy,3.5932
50,Airport West,106 Parer Rd,h,S,Nelson,Moonee Valley City Council,Western Metropolitan,3,790000.0,13.5,3042.0,3.0,1.0,3.0,614.0,-37.7194,144.8827,Oak Park,3.4192
51,Airport West,3/7 South Rd,t,SP,Nelson,Moonee Valley City Council,Western Metropolitan,3,540000.0,13.5,3042.0,2.0,2.0,1.0,161.0,-37.7231,144.8802,Oak Park,3.6788
52,Airport West,37 North St,t,SP,Barry,Moonee Valley City Council,Western Metropolitan,3,825000.0,13.5,3042.0,3.0,2.0,1.0,293.0,-37.72,144.8776,Oak Park,3.8705
53,Airport West,10 Hilbert Rd,h,S,Barry,Moonee Valley City Council,Western Metropolitan,3,685000.0,13.5,3042.0,3.0,1.0,1.0,579.0,-37.7226,144.8733,Oak Park,4.2727
54,Airport West,110 Halsey Rd,h,S,Barry,Moonee Valley City Council,Western Metropolitan,3,805000.0,13.5,3042.0,3.0,1.0,1.0,623.0,-37.7184,144.882,Glenroy,3.4575
55,Airport West,2/13 North St,u,S,Nelson,Moonee Valley City Council,Western Metropolitan,2,510000.0,13.5,3042.0,2.0,1.0,1.0,141.0,-37.7202,144.8797,Oak Park,3.6875
56,Airport West,105a Victory Rd,h,S,Nelson,Moonee Valley City Council,Western Metropolitan,3,612000.0,13.5,3042.0,3.0,2.0,1.0,212.0,-37.7181,144.8824,Glenroy,3.4112
57,Airport West,117 Marshall Rd,h,S,Brad,Moonee Valley City Council,Western Metropolitan,3,662000.0,13.5,3042.0,3.0,1.0,2.0,612.0,-37.7169,144.8815,Glenroy,3.4273
58,Airport West,34 Moorna Dr,h,S,Nelson,Moonee Valley City Council,Western Metropolitan,4,978000.0,13.5,3042.0,4.0,3.0,2.0,532.0,-37.7263,144.869,Oak Park,4.7109
59,Airport West,33 North St,h,PI,Nelson,Moonee Valley City Council,Western Metropolitan,3,720000.0,13.5,3042.0,3.0,1.0,1.0,585.0,-37.72,144.878,Oak Park,3.8354
60,Airport West,49 Roberts Rd,h,S,Prof.,Moonee Valley City Council,Western Metropolitan,4,765000.0,13.5,3042.0,4.0,1.0,2.0,509.0,-37.7261,144.8785,Oak Park,3.8896
61,Airport West,85 Roberts Rd,h,S,Harcourts,Moonee Valley City Council,Western Metropolitan,4,900000.0,13.5,3042.0,4.0,2.0,3.0,628.0,-37.7256,144.8739,Oak Park,4.273
62,Albert Park,105 Kerferd Rd,h,S,hockingstuart,Port Phillip City Council,Southern Metropolitan,2,1275000.0,3.3,3206.0,2.0,1.0,0.0,120.0,-37.8459,144.9555,Prahran,3.0436
63,Albert Park,85 Richardson St,h,S,Thomson,Port Phillip City Council,Southern Metropolitan,2,1455000.0,3.3,3206.0,2.0,1.0,0.0,159.0,-37.845,144.9538,Southern Cross,2.9663
64,Albert Park,112 Beaconsfield Pde,h,PI,Buxton,Port Phillip City Council,Southern Metropolitan,3,2850000.0,3.3,3206.0,3.0,2.0,0.0,211.0,-37.8481,144.9499,Southern Cross,3.3137
65,Albert Park,94 Graham St,h,S,Greg,Port Phillip City Council,Southern Metropolitan,3,1850000.0,3.3,3206.0,3.0,2.0,0.0,128.0,-37.8452,144.9488,Southern Cross,3.0
66,Albert Park,396 Montague St,h,S,RT,Port Phillip City Council,Southern Metropolitan,2,1436000.0,3.3,3206.0,2.0,1.0,0.0,130.0,-37.8431,144.9565,Southern Cross,2.7775
67,Albert Park,75 Graham St,h,S,Marshall,Port Phillip City Council,Southern Metropolitan,2,1110000.0,3.3,3206.0,1.0,1.0,0.0,147.0,-37.8444,144.9484,Southern Cross,2.9153
68,Albert Park,54 Brooke St,h,S,Sotheby's,Port Phillip City Council,Southern Metropolitan,2,1550000.0,3.3,3206.0,2.0,1.0,1.0,167.0,-37.8405,144.9521,Southern Cross,2.4625
69,Albert Park,104 Richardson St,h,S,Marshall,Port Phillip City Council,Southern Metropolitan,4,2300000.0,3.3,3206.0,4.0,2.0,1.0,153.0,-37.8447,144.9523,Southern Cross,2.9296
70,Albert Park,4a Mills St,t,VB,Marshall,Port Phillip City Council,Southern Metropolitan,3,1550000.0,3.3,3206.0,3.0,2.0,2.0,718.0,-37.8443,144.9598,Prahran,2.7047
71,Albert Park,1 Moubray St,h,VB,Greg,Port Phillip City Council,Southern Metropolitan,3,1800000.0,3.3,3206.0,3.0,2.0,1.0,132.0,-37.8415,144.952,Southern Cross,2.5738
72,Albert Park,29 Faussett St,h,S,Greg,Port Phillip City Council,Southern Metropolitan,2,2120000.0,3.3,3206.0,2.0,1.0,1.0,199.0,-37.8422,144.9554,Southern Cross,2.6665
73,Albert Park,3 Herbert St,h,VB,Cayzer,Port Phillip City Council,Southern Metropolitan,3,1800000.0,3.3,3206.0,3.0,1.0,1.0,253.0,-37.8443,144.9579,Prahran,2.8676
74,Albert Park,24 Kerferd Pl,h,S,Marshall,Port Phillip City Council,Southern Metropolitan,3,1800000.0,3.3,3206.0,3.0,2.0,1.0,90.0,-37.8421,144.9571,Southern Cross,2.6754
75,Albert Park,44 Draper St,h,PI,Greg,Port Phillip City Council,Southern Metropolitan,2,1810000.0,3.3,3206.0,2.0,1.0,0.0,240.0,-37.8379,144.9539,Southern Cross,2.1786
76,Albert Park,2 Dundas Pl,h,S,Cayzer,Port Phillip City Council,Southern Metropolitan,3,2615000.0,3.3,3206.0,3.0,2.0,1.0,177.0,-37.8415,144.9585,Southern Cross,2.6327
77,Albert Park,23 Finlay St,h,S,Greg,Port Phillip City Council,Southern Metropolitan,5,2100000.0,3.3,3206.0,5.0,2.0,1.0,237.0,-37.8436,144.9557,Southern Cross,2.8241
78,Albert Park,31 Richardson St,h,S,hockingstuart,Port Phillip City Council,Southern Metropolitan,3,1300000.0,3.3,3206.0,3.0,1.0,0.0,129.0,-37.8422,144.949,Southern Cross,2.6663
79,Albert Park,60 Brooke St,h,S,Cayzer,Port Phillip City Council,Southern Metropolitan,2,1000000.0,3.3,3206.0,2.0,1.0,0.0,288.0,-37.8407,144.9523,Southern Cross,2.4848
80,Albert Park,70 Barrett St,h,S,Greg,Port Phillip City Council,Southern Metropolitan,3,2575000.0,3.3,3206.0,3.0,2.0,1.0,228.0,-37.8445,144.9501,Southern Cross,2.9131
81,Albert Park,65 Graham St,h,S,Greg,Port Phillip City Council,Southern Metropolitan,2,1322500.0,3.3,3206.0,2.0,1.0,0.0,149.0,-37.8443,144.9481,Southern Cross,2.9074
82,Albert Park,364 Montague St,h,S,Greg,Port Phillip City Council,Southern Metropolitan,2,1562500.0,3.3,3206.0,2.0,1.0,0.0,141.0,-37.8424,144.9562,Southern Cross,2.6969
83,Albert Park,86 Mills St,h,VB,RT,Port Phillip City Council,Southern Metropolitan,3,2000000.0,3.3,3206.0,3.0,2.0,1.0,211.0,-37.847,144.9575,Prahran,2.8541
84,Albert Park,129 Kerferd Rd,h,S,Greg,Port Phillip City Council,Southern Metropolitan,3,1900000.0,3.3,3206.0,3.0,1.0,0.0,209.0,-37.8468,144.9546,Prahran,3.1097
85,Albert Park,97 Page St,h,S,Greg,Port Phillip City Council,Southern Metropolitan,3,3010000.0,3.3,3206.0,3.0,2.0,0.0,147.0,-37.8473,144.9551,Prahran,3.0606
86,Albert Park,55 Withers St,h,VB,Cayzer,Port Phillip City Council,Southern Metropolitan,4,2800000.0,3.3,3206.0,4.0,3.0,1.0,327.0,-37.8467,144.9475,Southern Cross,3.1788
87,Albert Park,55 Merton St,h,SP,Marshall,Port Phillip City Council,Southern Metropolitan,3,2100000.0,3.3,3206.0,2.0,1.0,1.0,120.0,-37.8427,144.9546,Southern Cross,2.7154
88,Albert Park,49 Page St,h,PI,Marshall,Port Phillip City Council,Southern Metropolitan,3,2000000.0,3.3,3206.0,3.0,1.0,1.0,238.0,-37.8461,144.9528,Southern Cross,3.0857
89,Albert Park,32 Page St,h,S,Greg,Port Phillip City Council,Southern Metropolitan,2,1340000.0,3.3,3206.0,2.0,1.0,0.0,136.0,-37.846,144.9517,Southern Cross,3.0744
90,Albert Park,34 Richardson St,h,S,hockingstuart,Port Phillip City Council,Southern Metropolitan,3,1801000.0,3.3,3206.0,3.0,1.0,1.0,202.0,-37.8429,144.9493,Southern Cross,2.7412
91,Albert Park,27 Barrett St,h,S,Greg,Port Phillip City Council,Southern Metropolitan,4,2140000.0,3.3,3206.0,3.0,2.0,1.0,183.0,-37.8434,144.9495,Southern Cross,2.795
92,Albert Park,44 Greig St,h,S,Marshall,Port Phillip City Council,Southern Metropolitan,2,1750000.0,3.3,3206.0,2.0,1.0,1.0,162.0,-37.8416,144.9488,Southern Cross,2.602
93,Albert Park,6 Brooke St,h,S,Greg,Port Phillip City Council,Southern Metropolitan,2,980000.0,3.3,3206.0,2.0,1.0,0.0,79.0,-37.8387,144.9519,Southern Cross,2.2625
94,Albert Park,227a Danks St,h,S,hockingstuart,Port Phillip City Council,Southern Metropolitan,3,2030000.0,3.3,3206.0,3.0,2.0,0.0,152.0,-37.8488,144.9551,Prahran,3.0501
95,Albert Park,17 Reed St,h,PI,Marshall,Port Phillip City Council,Southern Metropolitan,3,1740000.0,3.3,3206.0,3.0,2.0,2.0,147.0,-37.8448,144.9453,Southern Cross,3.0023
96,Albert Park,9 Durham St,h,S,Marshall,Port Phillip City Council,Southern Metropolitan,1,985000.0,3.3,3206.0,1.0,1.0,0.0,81.0,-37.8411,144.9497,Southern Cross,2.5387
97,Alphington,6 Smith St,h,S,Brace,Darebin City Council,Northern Metropolitan,4,2000000.0,6.4,3078.0,3.0,2.0,4.0,853.0,-37.7707,145.0318,Darebin,0.7543
98,Alphington,5/6 Yarralea St,h,S,Jellis,Darebin City Council,Northern Metropolitan,3,1110000.0,6.4,3078.0,3.0,2.0,2.0,208.0,-37.7854,145.0325,Alphington,0.7865
99,Alphington,136A Fulham Rd,h,S,Jellis,Darebin City Council,Northern Metropolitan,3,1492000.0,6.4,3078.0,3.0,2.0,2.0,411.0,-37.7713,145.0279,Alphington,0.8422
100,Alphington,44 Shiers St,h,S,Collins,Darebin City Council,Northern Metropolitan,4,1717500.0,6.4,3078.0,4.0,2.0,1.0,599.0,-37.7717,145.031,Alphington,0.7449
101,Alphington,3/19 Harker St,u,S,Miles,Darebin City Council,Northern Metropolitan,2,525500.0,6.4,3078.0,2.0,1.0,1.0,88.0,-37.7791,145.0306,Alphington,0.097
102,Alphington,4/2 Miller St,t,S,Miles,Darebin City Council,Northern Metropolitan,2,805000.0,6.4,3078.0,2.0,2.0,3.0,155.0,-37.7804,145.0308,Alphington,0.2263
103,Alphington,815 Heidelberg Rd,h,PI,hockingstuart,Darebin City Council,Northern Metropolitan,3,2000000.0,6.4,3078.0,3.0,3.0,2.0,686.0,-37.78,145.0341,Alphington,0.3074
104,Alphington,44 Naroon Rd,h,S,Nelson,Darebin City Council,Northern Metropolitan,3,1540000.0,6.4,3078.0,3.0,1.0,2.0,592.0,-37.7755,145.0288,Alphington,0.3874
105,Alphington,3/98 Grange Rd,u,S,Nelson,Darebin City Council,Northern Metropolitan,2,820000.0,6.4,3078.0,2.0,1.0,1.0,183.0,-37.7747,145.0264,Alphington,0.5922
106,Alphington,10 Bennett St,h,S,Nelson,Darebin City Council,Northern Metropolitan,4,1830000.0,6.4,3078.0,4.0,2.0,2.0,606.0,-37.7743,145.0316,Alphington,0.4565
107,Alphington,38 Bennett St,h,S,Nelson,Darebin City Council,Northern Metropolitan,4,2100000.0,6.4,3078.0,4.0,2.0,2.0,575.0,-37.7723,145.0319,Darebin,0.6537
108,Alphington,2c Hamilton St,h,SP,hockingstuart,Darebin City Council,Northern Metropolitan,3,865000.0,6.4,3078.0,3.0,1.0,1.0,180.0,-37.7802,145.0243,Alphington,0.643
109,Alphington,22 Lowther St,h,S,Barry,Darebin City Council,Northern Metropolitan,3,1165000.0,6.4,3078.0,3.0,1.0,2.0,979.0,-37.7792,145.029,Alphington,0.2171
110,Alphington,11 Margaret Gr,h,SP,McGrath,Darebin City Council,Northern Metropolitan,4,1900000.0,6.4,3078.0,4.0,2.0,2.0,556.0,-37.7844,145.0225,Fairfield,0.7661
111,Alphington,6 Naroon Rd,h,SP,McGrath,Darebin City Council,Northern Metropolitan,3,1485000.0,6.4,3078.0,3.0,0.0,0.0,597.0,-37.7781,145.0284,Alphington,0.2527
112,Alphington,42 Shiers St,h,S,Jellis,Darebin City Council,Northern Metropolitan,4,1950000.0,6.4,3078.0,4.0,2.0,3.0,589.0,-37.7719,145.0309,Alphington,0.723
113,Altona,158 Queen St,h,VB,Greg,Hobsons Bay City Council,Western Metropolitan,3,520000.0,13.8,3018.0,3.0,2.0,1.0,352.0,-37.87,144.825,Altona,0.5793
114,Altona,59 Bracken Gr,h,S,Greg,Hobsons Bay City Council,Western Metropolitan,5,1525000.0,13.8,3018.0,5.0,3.0,3.0,729.0,-37.8721,144.8105,Westona,0.8148
115,Altona,1/123 Blyth St,t,S,hockingstuart,Hobsons Bay City Council,Western Metropolitan,2,720000.0,13.8,3018.0,2.0,1.0,2.0,292.0,-37.8687,144.8197,Westona,0.6712
116,Altona,4 Blyth St,h,S,Barlow,Hobsons Bay City Council,Western Metropolitan,3,1120000.0,13.8,3018.0,3.0,1.0,2.0,506.0,-37.8693,144.8375,Seaholme,0.3441
117,Altona,20 Linnet St,h,PI,Sweeney,Hobsons Bay City Council,Western Metropolitan,4,780000.0,13.8,3018.0,4.0,1.0,4.0,655.0,-37.868,144.8154,Westona,0.3565
118,Altona,1/170 Blyth St,u,S,Barlow,Hobsons Bay City Council,Western Metropolitan,3,630000.0,13.8,3018.0,2.0,1.0,2.0,311.0,-37.8702,144.8143,Westona,0.5641
119,Altona,5/35 Grieve Pde,u,SP,hockingstuart,Hobsons Bay City Council,Western Metropolitan,2,406000.0,13.8,3018.0,2.0,1.0,1.0,65.0,-37.8693,144.8171,Westona,0.5578
120,Altona,156 Maidstone St,h,VB,Greg,Hobsons Bay City Council,Western Metropolitan,3,660000.0,13.8,3018.0,3.0,1.0,1.0,602.0,-37.8616,144.8116,Westona,0.4302
121,Altona,11 Keeshan Ct,h,S,Greg,Hobsons Bay City Council,Western Metropolitan,3,683500.0,13.8,3018.0,3.0,1.0,1.0,530.0,-37.8594,144.817,Westona,0.7109
122,Altona,1/136 Queen St,u,S,Barlow,Hobsons Bay City Council,Western Metropolitan,2,580000.0,13.8,3018.0,2.0,1.0,1.0,225.0,-37.8696,144.827,Altona,0.4104
123,Altona,173 Queen St,h,S,hockingstuart,Hobsons Bay City Council,Western Metropolitan,3,1335000.0,13.8,3018.0,3.0,1.0,4.0,777.0,-37.8697,144.8249,Altona,0.5701
124,Altona,1/265 Queen St,t,SP,hockingstuart,Hobsons Bay City Council,Western Metropolitan,3,800000.0,13.8,3018.0,3.0,2.0,2.0,280.0,-37.8734,144.8143,Westona,0.9183
125,Altona,3/26 Grieve Pde,u,S,Village,Hobsons Bay City Council,Western Metropolitan,2,510000.0,13.8,3018.0,2.0,1.0,1.0,127.0,-37.8686,144.8182,Westona,0.5621
126,Altona,261 Queen St,h,S,Barlow,Hobsons Bay City Council,Western Metropolitan,4,1070000.0,13.8,3018.0,4.0,2.0,2.0,695.0,-37.8733,144.8147,Westona,0.9106
127,Altona,4/5 Rose St,u,S,hockingstuart,Hobsons Bay City Council,Western Metropolitan,2,425000.0,13.8,3018.0,2.0,1.0,2.0,115.0,-37.871,144.8185,Westona,0.7832
128,Altona,1/60 David St,u,S,Jas,Hobsons Bay City Council,Western Metropolitan,3,605000.0,13.8,3018.0,3.0,2.0,2.0,230.0,-37.8646,144.827,Altona,0.4323
129,Altona,1A Merritt Ct,t,S,hockingstuart,Hobsons Bay City Council,Western Metropolitan,3,705000.0,13.8,3018.0,3.0,2.0,2.0,197.0,-37.8579,144.8181,Westona,0.9032
130,Altona,24 Wren St,h,S,hockingstuart,Hobsons Bay City Council,Western Metropolitan,4,845000.0,13.8,3018.0,4.0,1.0,2.0,745.0,-37.8658,144.8155,Westona,0.1891
131,Altona,1/152 Blyth St,t,SP,Gunn&Co,Hobsons Bay City Council,Western Metropolitan,3,743000.0,13.8,3018.0,3.0,2.0,2.0,211.0,-37.8698,144.816,Westona,0.56
132,Altona,4/57 Blyth St,u,SP,Barlow,Hobsons Bay City Council,Western Metropolitan,3,730000.0,13.8,3018.0,3.0,2.0,1.0,69.0,-37.868,144.8286,Altona,0.1947
133,Altona,164 Maidstone St,h,S,Sweeney,Hobsons Bay City Council,Western Metropolitan,3,635000.0,13.8,3018.0,3.0,1.0,4.0,625.0,-37.8611,144.8114,Westona,0.4883
134,Altona,3/25 Rayner St,u,SP,hockingstuart,Hobsons Bay City Council,Western Metropolitan,2,620000.0,13.8,3018.0,2.0,1.0,1.0,168.0,-37.8676,144.8202,Westona,0.6473
135,Altona,3/46 Sargood St,u,S,Burnham,Hobsons Bay City Council,Western Metropolitan,2,447000.0,13.8,3018.0,2.0,1.0,1.0,137.0,-37.8655,144.8299,Altona,0.2041
136,Altona,1/57 Blyth St,u,SP,Barlow,Hobsons Bay City Council,Western Metropolitan,3,730000.0,13.8,3018.0,3.0,2.0,1.0,70.0,-37.868,144.8287,Altona,0.1868
137,Altona,22 Fenfield St,h,S,hockingstuart,Hobsons Bay City Council,Western Metropolitan,3,678000.0,13.8,3018.0,3.0,1.0,2.0,606.0,-37.8608,144.8124,Westona,0.495
138,Altona,5/8 David St,u,PI,Biggin,Hobsons Bay City Council,Western Metropolitan,2,580000.0,13.8,3018.0,2.0,2.0,1.0,175.0,-37.8687,144.8268,Altona,0.3709
